"","N_iter","ARI","Frobenius_norm","K_diff","Simulation","Inference","N_seeds","Model"
"3",100,0.991520826167934,110,-1,100,"Consensus",1,"Consensus (100, 1)"
"4",1000,1,0,0,100,"Consensus",1,"Consensus (1000, 1)"
"5",10000,0.991520826167934,110,-1,100,"Consensus",1,"Consensus (10000, 1)"
"6",1,0.654209911754105,6144.2,-20,100,"Consensus",10,"Consensus (1, 10)"
"7",10,1,799.6,0,100,"Consensus",10,"Consensus (10, 10)"
"8",100,1,28.6,0,100,"Consensus",10,"Consensus (100, 10)"
"9",1000,1,11,0,100,"Consensus",10,"Consensus (1000, 10)"
"10",10000,1,39,0,100,"Consensus",10,"Consensus (10000, 10)"
"11",1,0.654578951336011,6012.13333333333,-20,100,"Consensus",30,"Consensus (1, 30)"
"12",10,1,768.666666666667,0,100,"Consensus",30,"Consensus (10, 30)"
"13",100,1,30,0,100,"Consensus",30,"Consensus (100, 30)"
"14",1000,1,6.53333333333335,0,100,"Consensus",30,"Consensus (1000, 30)"
"15",10000,1,38.6666666666667,0,100,"Consensus",30,"Consensus (10000, 30)"
"16",1,0.649684417063981,6006.08,-20,100,"Consensus",50,"Consensus (1, 50)"
"17",10,1,797.68,0,100,"Consensus",50,"Consensus (10, 50)"
"18",100,1,44.52,0,100,"Consensus",50,"Consensus (100, 50)"
"19",1000,1,17.5199999999999,0,100,"Consensus",50,"Consensus (1000, 50)"
"20",10000,1,34.64,0,100,"Consensus",50,"Consensus (10000, 50)"
"21",1,0.716774404664055,5939.34,-20,100,"Consensus",100,"Consensus (1, 100)"
"22",10,1,704.160000000001,0,100,"Consensus",100,"Consensus (10, 100)"
"23",100,1,35.8200000000001,0,100,"Consensus",100,"Consensus (100, 100)"
"24",1000,1,31.68,0,100,"Consensus",100,"Consensus (1000, 100)"
"25",10000,1,32.22,0,100,"Consensus",100,"Consensus (10000, 100)"
"26",1,0.628122788025649,4432,-20,10,"Consensus",1,"Consensus (1, 1)"
"27",10,0.987231532340435,160,-2,10,"Consensus",1,"Consensus (10, 1)"
"28",100,1,0,0,10,"Consensus",1,"Consensus (100, 1)"
