"","Cluster","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Cluster_str","Inference","Chain","Model","Cluster_plt","Ontology"
"37","K18
(11)","BP","GO:0016458","gene silencing",0.363636363636364,"30/549",0.00183987750385766,0.008498481803533,0.00428843628718703,"855976/851811/852283/852294",4,"K18 (11)","Consensus clustering",NA,"Consensus Clustering",18,"ALL"
"38","K18
(11)","BP","GO:0040029","regulation of gene expression, epigenetic",0.363636363636364,"30/549",0.00183987750385766,0.008498481803533,0.00428843628718703,"855976/851811/852283/852294",4,"K18 (11)","Consensus clustering",NA,"Consensus Clustering",18,"ALL"
"39","K18
(11)","BP","GO:0006259","DNA metabolic process",0.545454545454545,"95/549",0.00510704043859982,0.0173818569313748,0.00877109438208279,"855976/851811/852295/851810/855700/852283",6,"K18 (11)","Consensus clustering",NA,"Consensus Clustering",18,"ALL"
"40","K18
(11)","BP","GO:0006281","DNA repair",0.454545454545455,"72/549",0.0082976934692527,0.0243901898944701,0.012307583614681,"851811/852295/851810/855700/852283",5,"K18 (11)","Consensus clustering",NA,"Consensus Clustering",18,"ALL"
"41","K18
(11)","BP","GO:0044249","cellular biosynthetic process",0.727272727272727,"188/549",0.00991100231057672,0.0274676349750269,0.0138604994719344,"855976/851811/852295/851810/855700/852283/855743/852294",8,"K18 (11)","Consensus clustering",NA,"Consensus Clustering",18,"ALL"
"42","K18
(11)","BP","GO:1901576","organic substance biosynthetic process",0.727272727272727,"190/549",0.0106554360535053,0.0291148534419723,0.0146917057520533,"855976/851811/852295/851810/855700/852283/855743/852294",8,"K18 (11)","Consensus clustering",NA,"Consensus Clustering",18,"ALL"
"43","K18
(11)","BP","GO:0009058","biosynthetic process",0.727272727272727,"191/549",0.0110442889589685,0.0297582230283318,0.0150163577950888,"855976/851811/852295/851810/855700/852283/855743/852294",8,"K18 (11)","Consensus clustering",NA,"Consensus Clustering",18,"ALL"
"44","K18
(11)","BP","GO:0006974","cellular response to DNA damage stimulus",0.454545454545455,"81/549",0.0138684105630531,0.0344932262722091,0.0174056974677995,"851811/852295/851810/855700/852283",5,"K18 (11)","Consensus clustering",NA,"Consensus Clustering",18,"ALL"
"45","K18
(11)","CC","GO:0000788","nuclear nucleosome",0.818181818181818,"10/550",4.61305105530116e-17,1.66069837990842e-15,8.25493346738102e-16,"855701/855976/852284/851811/852295/851810/855700/852283/852294",9,"K18 (11)","Consensus clustering",NA,"Consensus Clustering",18,"ALL"
"46","K18
(11)","CC","GO:0000786","nucleosome",0.818181818181818,"11/550",2.52872253121994e-16,4.55170055619589e-15,2.26254121214415e-15,"855701/855976/852284/851811/852295/851810/855700/852283/852294",9,"K18 (11)","Consensus clustering",NA,"Consensus Clustering",18,"ALL"
"47","K18
(11)","CC","GO:0044815","DNA packaging complex",0.818181818181818,"13/550",3.26541047252844e-15,3.91849256703413e-14,1.9477887029117e-14,"855701/855976/852284/851811/852295/851810/855700/852283/852294",9,"K18 (11)","Consensus clustering",NA,"Consensus Clustering",18,"ALL"
"48","K18
(11)","CC","GO:0000790","nuclear chromatin",0.818181818181818,"30/550",6.16710037459386e-11,4.44031226970758e-10,2.20717276564412e-10,"855701/855976/852284/851811/852295/851810/855700/852283/852294",9,"K18 (11)","Consensus clustering",NA,"Consensus Clustering",18,"ALL"
"49","K18
(11)","CC","GO:0032993","protein-DNA complex",0.818181818181818,"30/550",6.16710037459386e-11,4.44031226970758e-10,2.20717276564412e-10,"855701/855976/852284/851811/852295/851810/855700/852283/852294",9,"K18 (11)","Consensus clustering",NA,"Consensus Clustering",18,"ALL"
"50","K18
(11)","CC","GO:0000228","nuclear chromosome",0.818181818181818,"94/550",3.62930283519786e-06,1.63318627583904e-05,8.11817739452152e-06,"855701/855976/852284/851811/852295/851810/855700/852283/852294",9,"K18 (11)","Consensus clustering",NA,"Consensus Clustering",18,"ALL"
"51","K21
(20)","BP","GO:0006260","DNA replication",0.6,"51/549",8.25691763360414e-09,2.51010296061566e-06,1.99035172431089e-06,"853500/853821/852245/855448/856305/851391/851671/851266/850793/855621/855950/853747",12,"K21 (20)","Consensus clustering",NA,"Consensus Clustering",21,"ALL"
"52","K21
(20)","BP","GO:0006281","DNA repair",0.65,"72/549",4.49948393767741e-08,5.40620761343642e-06,4.28677819763483e-06,"853500/853821/855448/856305/851391/851671/851266/850793/855621/855950/851561/853747/851691",13,"K21 (20)","Consensus clustering",NA,"Consensus Clustering",21,"ALL"
"53","K21
(20)","BP","GO:0006261","DNA-dependent DNA replication",0.55,"47/549",5.3350733027333e-08,5.40620761343642e-06,4.28677819763483e-06,"853500/853821/852245/855448/856305/851391/851671/851266/850793/855621/855950",11,"K21 (20)","Consensus clustering",NA,"Consensus Clustering",21,"ALL"
"54","K21
(20)","BP","GO:0006259","DNA metabolic process",0.7,"95/549",1.44482330796149e-07,1.09806571405074e-05,8.70696151376796e-06,"853500/853821/852245/855448/856305/851391/851671/851266/850793/855621/855950/851561/853747/851691",14,"K21 (20)","Consensus clustering",NA,"Consensus Clustering",21,"ALL"
"55","K21
(20)","BP","GO:0006974","cellular response to DNA damage stimulus",0.65,"81/549",2.10676790298306e-07,1.2809148850137e-05,1.01568389428025e-05,"853500/853821/855448/856305/851391/851671/851266/850793/855621/855950/851561/853747/851691",13,"K21 (20)","Consensus clustering",NA,"Consensus Clustering",21,"ALL"
"56","K21
(20)","BP","GO:0033554","cellular response to stress",0.7,"110/549",1.07853001420051e-06,4.09841405396193e-05,3.2497812269989e-05,"853500/853821/855448/856305/851391/851671/853327/851266/850793/855621/855950/851561/853747/851691",14,"K21 (20)","Consensus clustering",NA,"Consensus Clustering",21,"ALL"
"57","K21
(20)","BP","GO:0044249","cellular biosynthetic process",0.8,"188/549",2.63204677405602e-05,0.000364500214861115,0.000289025447379486,"853500/855447/853821/855217/852245/855448/856305/851391/851671/853327/851266/850793/855621/855950/853747/851102",16,"K21 (20)","Consensus clustering",NA,"Consensus Clustering",21,"ALL"
"58","K21
(20)","BP","GO:1901576","organic substance biosynthetic process",0.8,"190/549",3.0768711326166e-05,0.000406682097528455,0.000322472992846316,"853500/855447/853821/855217/852245/855448/856305/851391/851671/853327/851266/850793/855621/855950/853747/851102",16,"K21 (20)","Consensus clustering",NA,"Consensus Clustering",21,"ALL"
"59","K21
(20)","BP","GO:0009058","biosynthetic process",0.8,"191/549",3.32419181564972e-05,0.000421064296648964,0.000333877160431485,"853500/855447/853821/855217/852245/855448/856305/851391/851671/853327/851266/850793/855621/855950/853747/851102",16,"K21 (20)","Consensus clustering",NA,"Consensus Clustering",21,"ALL"
"60","K21
(20)","CC","GO:0032993","protein-DNA complex",0.3,"30/550",0.000357686720611056,0.00315956603206433,0.00200806579992172,"853500/853821/852245/851266/850793/855621",6,"K21 (20)","Consensus clustering",NA,"Consensus Clustering",21,"ALL"
"61","K21
(20)","CC","GO:0000228","nuclear chromosome",0.5,"94/550",0.000564853474344806,0.00405615925632849,0.00257789664751761,"853500/853821/852245/855448/856305/851266/850793/855621/851561/854786",10,"K21 (20)","Consensus clustering",NA,"Consensus Clustering",21,"ALL"
"62","K27
(9)","BP","GO:0006810","transport",0.777777777777778,"86/549",5.13070824316931e-05,0.00613208876811729,0.00533667070577966,"850490/852129/851949/855669/855458/854170/851462",7,"K27 (9)","Consensus clustering",NA,"Consensus Clustering",27,"ALL"
"63","K27
(9)","BP","GO:0051179","localization",0.888888888888889,"138/549",9.65683270569653e-05,0.00613208876811729,0.00533667070577966,"852751/850490/852129/851949/855669/855458/854170/851462",8,"K27 (9)","Consensus clustering",NA,"Consensus Clustering",27,"ALL"
"64","K27
(9)","CC","GO:0016020","membrane",1,"163/550",1.50441812908332e-05,0.000737164883250825,0.000427571468265784,"852751/850490/852129/856595/851949/855669/855458/854170/851462",9,"K27 (9)","Consensus clustering",NA,"Consensus Clustering",27,"ALL"
"65","K27
(9)","CC","GO:0098796","membrane protein complex",0.444444444444444,"15/550",4.20405864769206e-05,0.00102999436868456,0.000597418860461504,"852129/856595/855669/851462",4,"K27 (9)","Consensus clustering",NA,"Consensus Clustering",27,"ALL"
"66","K27
(9)","CC","GO:0031300","intrinsic component of organelle membrane",0.444444444444444,"19/550",0.000115864236904662,0.00141933690208211,0.000823245893796285,"852751/856595/855669/855458",4,"K27 (9)","Consensus clustering",NA,"Consensus Clustering",27,"ALL"
"67","K27
(9)","CC","GO:0031090","organelle membrane",0.666666666666667,"89/550",0.000857595487348433,0.00600316841143903,0.00348196664036206,"852751/852129/856595/855669/855458/851462",6,"K27 (9)","Consensus clustering",NA,"Consensus Clustering",27,"ALL"
"68","K42
(11)","BP","GO:0000278","mitotic cell cycle",0.909090909090909,"142/549",8.99867549159712e-06,0.00245663840920601,0.002140737538001,"852099/853100/852787/855636/854249/851957/850639/852274/856577/852249",10,"K42 (11)","Consensus clustering",NA,"Consensus Clustering",42,"ALL"
"69","K42
(11)","BP","GO:0007049","cell cycle",1,"210/549",2.17378601482347e-05,0.00296721791023403,0.00258566125973739,"852099/853100/852787/855636/854249/851957/850639/852274/856577/855555/852249",11,"K42 (11)","Consensus clustering",NA,"Consensus Clustering",42,"ALL"
"70","K42
(11)","BP","GO:0007010","cytoskeleton organization",0.636363636363636,"68/549",7.36352920997509e-05,0.0062661106775812,0.00546034707203914,"852099/852787/851957/850639/856577/855555/852249",7,"K42 (11)","Consensus clustering",NA,"Consensus Clustering",42,"ALL"
