"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Cluster_str","Inference","Chain","Model","Cluster_plt","Ontology"
"59","K27
(9)","GO:0031300","intrinsic component of organelle membrane",0.444444444444444,"19/550",0.000115864236904662,0.00141933690208211,0.000823245893796285,"852751/856595/855669/855458",4,"K27 (9)","Consensus clustering",NA,"Consensus Clustering",27,"CC"
"60","K27
(9)","GO:0031301","integral component of organelle membrane",0.444444444444444,"19/550",0.000115864236904662,0.00141933690208211,0.000823245893796285,"852751/856595/855669/855458",4,"K27 (9)","Consensus clustering",NA,"Consensus Clustering",27,"CC"
"61","K27
(9)","GO:0016021","integral component of membrane",0.777777777777778,"110/550",0.000274194707539479,0.0026871081338869,0.00155858044285599,"852751/850490/856595/855669/855458/854170/851462",7,"K27 (9)","Consensus clustering",NA,"Consensus Clustering",27,"CC"
"62","K27
(9)","GO:0031090","organelle membrane",0.666666666666667,"89/550",0.000857595487348433,0.00600316841143903,0.00348196664036206,"852751/852129/856595/855669/855458/851462",6,"K27 (9)","Consensus clustering",NA,"Consensus Clustering",27,"CC"
"63","K42
(11)","GO:0005856","cytoskeleton",0.636363636363636,"79/550",0.000201004823713622,0.0128643087176718,0.0103676172231237,"852099/852787/851957/850639/856577/855555/852249",7,"K42 (11)","Consensus clustering",NA,"Consensus Clustering",42,"CC"
"64","K42
(11)","GO:0099080","supramolecular complex",0.454545454545455,"43/550",0.000754206853763185,0.0241346193204219,0.0194505978075769,"852099/853100/852787/856577/852249",5,"K42 (11)","Consensus clustering",NA,"Consensus Clustering",42,"CC"
"65","K46
(11)","GO:0000922","spindle pole",0.363636363636364,"16/550",0.000140617993976376,0.00553052357610269,0.0035624739453293,"850734/853513/854240/854889",4,"K46 (11)","Consensus clustering",NA,"Consensus Clustering",46,"CC"
"66","K46
(11)","GO:0005819","spindle",0.454545454545455,"33/550",0.000204736335436337,0.00553052357610269,0.0035624739453293,"850734/853513/855859/854240/854889",5,"K46 (11)","Consensus clustering",NA,"Consensus Clustering",46,"CC"
"67","K46
(11)","GO:0015630","microtubule cytoskeleton",0.545454545454545,"57/550",0.000294881915333491,0.00553052357610269,0.0035624739453293,"850734/853513/855859/854240/854889/852655",6,"K46 (11)","Consensus clustering",NA,"Consensus Clustering",46,"CC"
"68","K46
(11)","GO:0005816","spindle pole body",0.454545454545455,"37/550",0.000361882477920716,0.00553052357610269,0.0035624739453293,"850734/853513/855859/854240/854889",5,"K46 (11)","Consensus clustering",NA,"Consensus Clustering",46,"CC"
"69","K46
(11)","GO:0005815","microtubule organizing center",0.454545454545455,"38/550",0.000412725640007663,0.00553052357610269,0.0035624739453293,"850734/853513/855859/854240/854889",5,"K46 (11)","Consensus clustering",NA,"Consensus Clustering",46,"CC"
"70","K46
(11)","GO:0099080","supramolecular complex",0.454545454545455,"43/550",0.000754206853763185,0.0084219765336889,0.0054249966674194,"850734/855859/854240/854889/852655",5,"K46 (11)","Consensus clustering",NA,"Consensus Clustering",46,"CC"
"71","K46
(11)","GO:0005856","cytoskeleton",0.545454545454545,"79/550",0.00186646482563621,0.0113684675743297,0.00732297204316601,"850734/853513/855859/854240/854889/852655",6,"K46 (11)","Consensus clustering",NA,"Consensus Clustering",46,"CC"
"72","K46
(11)","GO:0031981","nuclear lumen",0.636363636363636,"142/550",0.00850018839094302,0.0316395901218435,0.020380568656647,"850734/855859/851177/854240/853880/854889/856698",7,"K46 (11)","Consensus clustering",NA,"Consensus Clustering",46,"CC"
"73","K46
(11)","GO:0005876","spindle microtubule",0.181818181818182,"10/550",0.0150115295253228,0.0468888952681782,0.0302033732285201,"850734/854889",2,"K46 (11)","Consensus clustering",NA,"Consensus Clustering",46,"CC"
