"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Cluster_str","Inference","Chain","Model","Cluster_plt","Ontology"
"44","K13
(14)","GO:0140097","catalytic activity, acting on DNA",0.285714285714286,"30/546",0.00506634129454052,0.0398069673142469,0.0228556750129647,"850719/854198/855459/852258",4,"K13 (14)","Bayesian",1,"Bayesian: chain 1",13,"MF"
"45","K14
(27)","GO:0140097","catalytic activity, acting on DNA",0.296296296296296,"30/546",3.42966322286167e-05,0.00146608905756997,0.00118013360671267,"853500/853821/852245/856305/851391/850793/855621/853747",8,"K14 (27)","Bayesian",1,"Bayesian: chain 1",14,"MF"
"46","K14
(27)","GO:0016779","nucleotidyltransferase activity",0.185185185185185,"10/546",4.31202663991168e-05,0.00146608905756997,0.00118013360671267,"853500/853821/852245/856305/855621",5,"K14 (27)","Bayesian",1,"Bayesian: chain 1",14,"MF"
"47","K14
(27)","GO:0003697","single-stranded DNA binding",0.185185185185185,"14/546",0.000298290820994177,0.00676125860920135,0.0054424991900692,"853821/856305/851266/850793/855404",5,"K14 (27)","Bayesian",1,"Bayesian: chain 1",14,"MF"
"48","K14
(27)","GO:0003677","DNA binding",0.444444444444444,"92/546",0.000515695543487966,0.00876682423929541,0.00705688638457216,"853821/852245/856305/851391/851671/851266/850793/855621/855950/854063/855404/855102",12,"K14 (27)","Bayesian",1,"Bayesian: chain 1",14,"MF"
"49","K14
(27)","GO:0003690","double-stranded DNA binding",0.259259259259259,"44/546",0.00354740632104313,0.0482447259661866,0.0388347639356301,"856305/851671/851266/850793/855950/854063/855404",7,"K14 (27)","Bayesian",1,"Bayesian: chain 1",14,"MF"
"50","K17
(33)","GO:0008017","microtubule binding",0.272727272727273,"19/546",2.11966307764565e-07,7.41882077175979e-06,7.02835652061454e-06,"852819/856736/852787/856577/852249/856263/855597/850734/853010",9,"K17 (33)","Bayesian",1,"Bayesian: chain 1",17,"MF"
"51","K17
(33)","GO:0015631","tubulin binding",0.272727272727273,"19/546",2.11966307764565e-07,7.41882077175979e-06,7.02835652061454e-06,"852819/856736/852787/856577/852249/856263/855597/850734/853010",9,"K17 (33)","Bayesian",1,"Bayesian: chain 1",17,"MF"
"52","K17
(33)","GO:0005200","structural constituent of cytoskeleton",0.242424242424242,"18/546",2.13693458636481e-06,4.26241396689624e-05,4.03807638969117e-05,"850909/856736/852787/851957/856577/855597/850734/854085",8,"K17 (33)","Bayesian",1,"Bayesian: chain 1",17,"MF"
"53","K17
(33)","GO:0008092","cytoskeletal protein binding",0.272727272727273,"24/546",2.43566512394071e-06,4.26241396689624e-05,4.03807638969117e-05,"852819/856736/852787/856577/852249/856263/855597/850734/853010",9,"K17 (33)","Bayesian",1,"Bayesian: chain 1",17,"MF"
"54","K17
(33)","GO:0005198","structural molecule activity",0.242424242424242,"31/546",0.000220448674786469,0.00308628144701057,0.00292384558137844,"850909/856736/852787/851957/856577/855597/850734/854085",8,"K17 (33)","Bayesian",1,"Bayesian: chain 1",17,"MF"
"55","K17
(33)","GO:0005515","protein binding",0.454545454545455,"103/546",0.000274328704568719,0.00320050155330173,0.00303205410312795,"852819/852091/852099/856736/853100/852787/850639/856577/855555/852249/856263/855597/850734/853010/855533",15,"K17 (33)","Bayesian",1,"Bayesian: chain 1",17,"MF"
"56","K30
(12)","GO:0016773","phosphotransferase activity, alcohol group as acceptor",0.333333333333333,"23/546",0.000952978221703742,0.0413833071143762,0.0265156201190511,"851725/852863/855013/852984",4,"K30 (12)","Bayesian",1,"Bayesian: chain 1",30,"MF"
"57","K30
(12)","GO:0016301","kinase activity",0.333333333333333,"27/546",0.00179927422236418,0.0413833071143762,0.0265156201190511,"851725/852863/855013/852984",4,"K30 (12)","Bayesian",1,"Bayesian: chain 1",30,"MF"
"58","K32
(13)","GO:0140098","catalytic activity, acting on RNA",0.384615384615385,"14/546",5.80138710048674e-06,0.00024945964532093,0.000225948760755799,"854221/853996/853784/855571/851656",5,"K32 (13)","Bayesian",1,"Bayesian: chain 1",32,"MF"
"59","K32
(13)","GO:0003723","RNA binding",0.461538461538462,"30/546",2.16736597005328e-05,0.000465983683561454,0.000422066004694585,"854221/853996/853784/853956/856553/850982",6,"K32 (13)","Bayesian",1,"Bayesian: chain 1",32,"MF"
"60","K32
(13)","GO:0003676","nucleic acid binding",0.615384615384615,"119/546",0.00197565934040072,0.028317783879077,0.0256489107350269,"854221/853996/852569/853784/855571/853956/856553/850982",8,"K32 (13)","Bayesian",1,"Bayesian: chain 1",32,"MF"
"61","K34
(9)","GO:0019899","enzyme binding",0.444444444444444,"22/546",0.000219933056887368,0.0087973222754947,0.0087973222754947,"852960/852961/853361/854183",4,"K34 (9)","Bayesian",1,"Bayesian: chain 1",34,"MF"
"62","K34
(9)","GO:0005515","protein binding",0.666666666666667,"103/546",0.00203428872942647,0.0406857745885293,0.0406857745885293,"852960/852961/854404/853361/855387/854183",6,"K34 (9)","Bayesian",1,"Bayesian: chain 1",34,"MF"
"63","K36
(5)","GO:0000166","nucleotide binding",0.8,"87/546",0.00266649396512641,0.0281894412694912,0.0142183585350504,"851273/851772/856680/850980",4,"K36 (5)","Bayesian",1,"Bayesian: chain 1",36,"MF"
"64","K36
(5)","GO:1901265","nucleoside phosphate binding",0.8,"87/546",0.00266649396512641,0.0281894412694912,0.0142183585350504,"851273/851772/856680/850980",4,"K36 (5)","Bayesian",1,"Bayesian: chain 1",36,"MF"
"65","K36
(5)","GO:0043168","anion binding",0.8,"88/546",0.00278877101226766,0.0281894412694912,0.0142183585350504,"851273/851772/856680/850980",4,"K36 (5)","Bayesian",1,"Bayesian: chain 1",36,"MF"
"66","K36
(5)","GO:0036094","small molecule binding",0.8,"89/546",0.00291508731660447,0.0281894412694912,0.0142183585350504,"851273/851772/856680/850980",4,"K36 (5)","Bayesian",1,"Bayesian: chain 1",36,"MF"
"67","K36
(5)","GO:0003678","DNA helicase activity",0.4,"10/546",0.00293640013223867,0.0281894412694912,0.0142183585350504,"856680/850980",2,"K36 (5)","Bayesian",1,"Bayesian: chain 1",36,"MF"
"68","K3
(67)","GO:0005200","structural constituent of cytoskeleton",0.149253731343284,"18/546",8.03688296806385e-06,0.000352285048745921,0.000326488431904114,"853824/855979/856736/852787/851957/856577/856738/850734/854889/854085",10,"K3 (67)","Bayesian",2,"Bayesian: chain 2",3,"MF"
