"","N_iter","ARI","Frobenius_norm","K_diff","Simulation","Inference","N_seeds","Model"
"17",10,0.987978575367954,33.32,-2,100,"Consensus",50,"Consensus (10, 50)"
"18",100,1,17.76,0,100,"Consensus",50,"Consensus (100, 50)"
"19",1000,1,17.76,0,100,"Consensus",50,"Consensus (1000, 50)"
"20",10000,1,17.76,0,100,"Consensus",50,"Consensus (10000, 50)"
"21",1,0.987978575367954,213.66,-2,100,"Consensus",100,"Consensus (1, 100)"
"22",10,0.987978575367954,33.66,-2,100,"Consensus",100,"Consensus (10, 100)"
"23",100,0.99039584787023,18.2400000000001,-1,100,"Consensus",100,"Consensus (100, 100)"
"24",1000,0.99039584787023,16.5600000000001,-1,100,"Consensus",100,"Consensus (1000, 100)"
"25",10000,0.99039584787023,16.5600000000001,-1,100,"Consensus",100,"Consensus (10000, 100)"
"26",1,0.0240074255108524,256,-2,10,"Consensus",1,"Consensus (1, 1)"
"27",10,0.0630471284904184,56,-2,10,"Consensus",1,"Consensus (10, 1)"
"28",100,0.0630471284904184,56,-2,10,"Consensus",1,"Consensus (100, 1)"
"29",1000,0.0630471284904184,56,-2,10,"Consensus",1,"Consensus (1000, 1)"
"30",10000,0.0630471284904184,56,-2,10,"Consensus",1,"Consensus (10000, 1)"
"31",1,0.9591064167874,180.4,-2,10,"Consensus",10,"Consensus (1, 10)"
"32",10,1,29.4,0,10,"Consensus",10,"Consensus (10, 10)"
"33",100,1,24,0,10,"Consensus",10,"Consensus (100, 10)"
"34",1000,1,24,0,10,"Consensus",10,"Consensus (1000, 10)"
"35",10000,1,24,0,10,"Consensus",10,"Consensus (10000, 10)"
"36",1,0.9591064167874,198.333333333333,-2,10,"Consensus",30,"Consensus (1, 30)"
"37",10,1,36.6666666666667,0,10,"Consensus",30,"Consensus (10, 30)"
"38",100,1,21.8666666666667,0,10,"Consensus",30,"Consensus (100, 30)"
"39",1000,1,21.8666666666667,0,10,"Consensus",30,"Consensus (1000, 30)"
"40",10000,1,21.8666666666667,0,10,"Consensus",30,"Consensus (10000, 30)"
"41",1,1,199.56,0,10,"Consensus",50,"Consensus (1, 50)"
"42",10,1,36.12,0,10,"Consensus",50,"Consensus (10, 50)"
"43",100,1,21.92,0,10,"Consensus",50,"Consensus (100, 50)"
"44",1000,1,21.12,0,10,"Consensus",50,"Consensus (1000, 50)"
"45",10000,1,21.12,0,10,"Consensus",50,"Consensus (10000, 50)"
