"","N_iter","ARI","Frobenius_norm","K_diff","Simulation","Inference","N_seeds","Model"
"217",10,1,27,0,17,"Consensus",50,"Consensus (10, 50)"
"218",100,1,21.4,0,17,"Consensus",50,"Consensus (100, 50)"
"219",1000,1,19.72,0,17,"Consensus",50,"Consensus (1000, 50)"
"220",10000,1,17.08,0,17,"Consensus",50,"Consensus (10000, 50)"
"221",1,1,184.58,0,17,"Consensus",100,"Consensus (1, 100)"
"222",10,1,26.0400000000001,0,17,"Consensus",100,"Consensus (10, 100)"
"223",100,1,18.42,0,17,"Consensus",100,"Consensus (100, 100)"
"224",1000,1,16.74,0,17,"Consensus",100,"Consensus (1000, 100)"
"225",10000,1,14.2000000000001,0,17,"Consensus",100,"Consensus (10000, 100)"
"226",1,0.188789783760656,278,-2,18,"Consensus",1,"Consensus (1, 1)"
