"","Cluster","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Cluster_str","Inference","Chain","Model","Cluster_plt","Ontology"
"69","K25
(2)","BP","GO:0018205","peptidyl-lysine modification",1,"18/549",0.00101711140361374,0.0471549687775606,0.0350116779457452,"850658/850638",2,"K25 (2)","Consensus clustering",NA,"Consensus Clustering",25,"ALL"
"70","K25
(2)","BP","GO:0016569","covalent chromatin modification",1,"20/549",0.00126307952082752,0.0471549687775606,0.0350116779457452,"850658/850638",2,"K25 (2)","Consensus clustering",NA,"Consensus Clustering",25,"ALL"
"71","K26
(4)","BP","GO:0070925","organelle assembly",0.5,"23/549",0.00958187760962214,0.0455139186457052,0.0363102730469892,"856577/855597",2,"K26 (4)","Consensus clustering",NA,"Consensus Clustering",26,"ALL"
"72","K26
(4)","CC","GO:0005874","microtubule",1,"29/550",6.29781969315171e-06,3.62124632356223e-05,1.49158887469383e-05,"850909/856577/855597/855533",4,"K26 (4)","Consensus clustering",NA,"Consensus Clustering",26,"ALL"
"73","K26
(4)","CC","GO:0099081","supramolecular polymer",1,"29/550",6.29781969315171e-06,3.62124632356223e-05,1.49158887469383e-05,"850909/856577/855597/855533",4,"K26 (4)","Consensus clustering",NA,"Consensus Clustering",26,"ALL"
"74","K26
(4)","CC","GO:0099512","supramolecular fiber",1,"29/550",6.29781969315171e-06,3.62124632356223e-05,1.49158887469383e-05,"850909/856577/855597/855533",4,"K26 (4)","Consensus clustering",NA,"Consensus Clustering",26,"ALL"
"75","K26
(4)","CC","GO:0099513","polymeric cytoskeletal fiber",1,"29/550",6.29781969315171e-06,3.62124632356223e-05,1.49158887469383e-05,"850909/856577/855597/855533",4,"K26 (4)","Consensus clustering",NA,"Consensus Clustering",26,"ALL"
"76","K26
(4)","CC","GO:0005816","spindle pole body",1,"37/550",1.75125048054484e-05,7.50290647056957e-05,3.0904420244909e-05,"850909/856577/855597/855533",4,"K26 (4)","Consensus clustering",NA,"Consensus Clustering",26,"ALL"
"77","K26
(4)","CC","GO:0005815","microtubule organizing center",1,"38/550",1.95727994884424e-05,7.50290647056957e-05,3.0904420244909e-05,"850909/856577/855597/855533",4,"K26 (4)","Consensus clustering",NA,"Consensus Clustering",26,"ALL"
"78","K26
(4)","MF","GO:0005200","structural constituent of cytoskeleton",0.75,"18/546",0.000118473447076012,0.00390962375350839,0.00336714007479191,"850909/856577/855597",3,"K26 (4)","Consensus clustering",NA,"Consensus Clustering",26,"ALL"
"79","K26
(4)","MF","GO:0005198","structural molecule activity",0.75,"31/546",0.000640654036073738,0.0105707915952167,0.00910403103894259,"850909/856577/855597",3,"K26 (4)","Consensus clustering",NA,"Consensus Clustering",26,"ALL"
"80","K28
(2)","MF","GO:0098772","molecular function regulator",1,"44/546",0.00635816782605774,0.0317908391302887,0.026771232951822,"855861/850345",2,"K28 (2)","Consensus clustering",NA,"Consensus Clustering",28,"ALL"
"81","K29
(2)","BP","GO:0007004","telomere maintenance via telomerase",1,"10/549",0.00029915041282757,0.00496057862337628,0.00197404284113818,"851266/855404",2,"K29 (2)","Consensus clustering",NA,"Consensus Clustering",29,"ALL"
"82","K29
(2)","BP","GO:0010833","telomere maintenance via telomere lengthening",1,"10/549",0.00029915041282757,0.00496057862337628,0.00197404284113818,"851266/855404",2,"K29 (2)","Consensus clustering",NA,"Consensus Clustering",29,"ALL"
"83","K29
(2)","BP","GO:0032446","protein modification by small protein conjugation",1,"12/549",0.000438753938813769,0.00496057862337628,0.00197404284113818,"851266/855404",2,"K29 (2)","Consensus clustering",NA,"Consensus Clustering",29,"ALL"
"84","K29
(2)","BP","GO:0006278","RNA-dependent DNA biosynthetic process",1,"13/549",0.000518527382234454,0.00496057862337628,0.00197404284113818,"851266/855404",2,"K29 (2)","Consensus clustering",NA,"Consensus Clustering",29,"ALL"
"85","K29
(2)","BP","GO:0006289","nucleotide-excision repair",1,"13/549",0.000518527382234454,0.00496057862337628,0.00197404284113818,"851266/855404",2,"K29 (2)","Consensus clustering",NA,"Consensus Clustering",29,"ALL"
"86","K29
(2)","BP","GO:0070647","protein modification by small protein conjugation or removal",1,"13/549",0.000518527382234454,0.00496057862337628,0.00197404284113818,"851266/855404",2,"K29 (2)","Consensus clustering",NA,"Consensus Clustering",29,"ALL"
"87","K29
(2)","BP","GO:0006260","DNA replication",1,"51/549",0.00847592836344782,0.0257417083630637,0.0102438120571884,"851266/855404",2,"K29 (2)","Consensus clustering",NA,"Consensus Clustering",29,"ALL"
"88","K29
(2)","BP","GO:0006281","DNA repair",1,"72/549",0.016991743448606,0.0435413425870528,0.0173271068061442,"851266/855404",2,"K29 (2)","Consensus clustering",NA,"Consensus Clustering",29,"ALL"
"89","K29
(2)","CC","GO:0032993","protein-DNA complex",1,"30/550",0.00288127173373075,0.0178495335872385,0.0114367720925098,"851266/855404",2,"K29 (2)","Consensus clustering",NA,"Consensus Clustering",29,"ALL"
"90","K29
(2)","CC","GO:0000794","condensed nuclear chromosome",1,"36/550",0.00417287630402384,0.0178495335872385,0.0114367720925098,"851266/855404",2,"K29 (2)","Consensus clustering",NA,"Consensus Clustering",29,"ALL"
"91","K29
(2)","CC","GO:0000793","condensed chromosome",1,"38/550",0.00465640006623613,0.0178495335872385,0.0114367720925098,"851266/855404",2,"K29 (2)","Consensus clustering",NA,"Consensus Clustering",29,"ALL"
"92","K30
(2)","BP","GO:0007064","mitotic sister chromatid cohesion",1,"22/549",0.00153563878584819,0.0398867217103426,0.0314895171397442,"850540/854786",2,"K30 (2)","Consensus clustering",NA,"Consensus Clustering",30,"ALL"
"93","K30
(2)","BP","GO:0007062","sister chromatid cohesion",1,"25/549",0.00199433608551713,0.0398867217103426,0.0314895171397442,"850540/854786",2,"K30 (2)","Consensus clustering",NA,"Consensus Clustering",30,"ALL"
"94","K30
(2)","CC","GO:0000794","condensed nuclear chromosome",1,"36/550",0.00417287630402384,0.0465640006623613,0.0392117900314622,"850540/854786",2,"K30 (2)","Consensus clustering",NA,"Consensus Clustering",30,"ALL"
"95","K30
(2)","CC","GO:0000793","condensed chromosome",1,"38/550",0.00465640006623613,0.0465640006623613,0.0392117900314622,"850540/854786",2,"K30 (2)","Consensus clustering",NA,"Consensus Clustering",30,"ALL"
"96","K32
(2)","BP","GO:0000902","cell morphogenesis",1,"10/549",0.00029915041282757,0.00543909841504672,0.00236648492444138,"851023/850639",2,"K32 (2)","Consensus clustering",NA,"Consensus Clustering",32,"ALL"
"97","K32
(2)","BP","GO:0000282","cellular bud site selection",1,"12/549",0.000438753938813769,0.00543909841504672,0.00236648492444138,"851023/850639",2,"K32 (2)","Consensus clustering",NA,"Consensus Clustering",32,"ALL"
"98","K32
(2)","BP","GO:0000281","mitotic cytokinesis",1,"20/549",0.00126307952082752,0.00654391528060309,0.00284717717471854,"851023/850639",2,"K32 (2)","Consensus clustering",NA,"Consensus Clustering",32,"ALL"
"99","K32
(2)","BP","GO:0061640","cytoskeleton-dependent cytokinesis",1,"22/549",0.00153563878584819,0.00673088428862033,0.00292852509399621,"851023/850639",2,"K32 (2)","Consensus clustering",NA,"Consensus Clustering",32,"ALL"
"100","K32
(2)","BP","GO:0000910","cytokinesis",1,"29/549",0.00269900150239985,0.00749722639555514,0.00326195113350469,"851023/850639",2,"K32 (2)","Consensus clustering",NA,"Consensus Clustering",32,"ALL"
