"","Cluster","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Cluster_str","Inference","R","S","Model","Chain","Cluster_plt","Ontology"
"47","K18
(17)","BP","GO:0051716","cellular response to stimulus",0.705882352941177,"146/549",0.000148430467192592,0.00156107905150829,0.00113679958539517,"853821/855448/856305/851391/851671/853327/851266/850793/855621/855950/852119/853747",12,"K18 (17)","Consensus clustering",500,100,"CC(500,100)",NA,18,"ALL"
"48","K18
(17)","BP","GO:0050896","response to stimulus",0.705882352941177,"163/549",0.000482615449601892,0.00408882533690492,0.00297753976216372,"853821/855448/856305/851391/851671/853327/851266/850793/855621/855950/852119/853747",12,"K18 (17)","Consensus clustering",500,100,"CC(500,100)",NA,18,"ALL"
"49","K18
(17)","BP","GO:0006302","double-strand break repair",0.294117647058824,"43/549",0.0071162938003012,0.0339135876420604,0.0246963485503874,"853821/851266/850793/855621/853747",5,"K18 (17)","Consensus clustering",500,100,"CC(500,100)",NA,18,"ALL"
"50","K18
(17)","CC","GO:0032993","protein-DNA complex",0.294117647058824,"30/550",0.00134001766425182,0.00821714479212004,0.00478005652727205,"853821/852245/851266/850793/855621",5,"K18 (17)","Consensus clustering",500,100,"CC(500,100)",NA,18,"ALL"
"51","K20
(23)","BP","GO:0097502","mannosylation",0.217391304347826,"10/549",1.80640740690582e-05,0.00554567073920085,0.00509597036895535,"852845/856050/854499/852458/851464",5,"K20 (23)","Consensus clustering",500,100,"CC(500,100)",NA,20,"ALL"
"52","K20
(23)","BP","GO:0070085","glycosylation",0.217391304347826,"14/549",0.000128253476890976,0.0196869087027649,0.0180904904246219,"852845/856050/854499/852458/851464",5,"K20 (23)","Consensus clustering",500,100,"CC(500,100)",NA,20,"ALL"
"53","K20
(23)","CC","GO:0005794","Golgi apparatus",0.260869565217391,"17/550",2.47363374495077e-05,0.00178101629636456,0.00130191249734251,"852845/856050/852114/851551/853690/852458",6,"K20 (23)","Consensus clustering",500,100,"CC(500,100)",NA,20,"ALL"
"54","K20
(23)","CC","GO:0000139","Golgi membrane",0.217391304347826,"12/550",5.32041730705107e-05,0.00191535023053838,0.00140010981764502,"852845/856050/852114/853690/852458",5,"K20 (23)","Consensus clustering",500,100,"CC(500,100)",NA,20,"ALL"
"55","K20
(23)","CC","GO:0016021","integral component of membrane",0.478260869565217,"110/550",0.00199635373451341,0.0239562448141609,0.0175118748641527,"852845/853372/856050/852114/854141/851551/851315/854499/853690/852458/851464",11,"K20 (23)","Consensus clustering",500,100,"CC(500,100)",NA,20,"ALL"
"56","K20
(23)","MF","GO:0000030","mannosyltransferase activity",0.217391304347826,"10/546",1.85530549730919e-05,0.000909099693681504,0.000898358451328661,"852845/856050/854499/852458/851464",5,"K20 (23)","Consensus clustering",500,100,"CC(500,100)",NA,20,"ALL"
"57","K21
(19)","BP","GO:0033554","cellular response to stress",0.631578947368421,"110/549",3.50734134701065e-05,0.00992577601204015,0.00926676503262815,"854674/852130/854941/852700/850844/851246/851856/853798/856854/852786/856191/850519",12,"K21 (19)","Consensus clustering",500,100,"CC(500,100)",NA,21,"ALL"
"58","K21
(19)","BP","GO:0006950","response to stress",0.631578947368421,"121/549",9.94133453198242e-05,0.0117741124956026,0.0109923832486378,"854674/852130/854941/852700/850844/851246/851856/853798/856854/852786/856191/850519",12,"K21 (19)","Consensus clustering",500,100,"CC(500,100)",NA,21,"ALL"
"59","K21
(19)","BP","GO:0051716","cellular response to stimulus",0.684210526315789,"146/549",0.000124813913380947,0.0117741124956026,0.0109923832486378,"850811/854674/852130/854941/852700/850844/851246/851856/853798/856854/852786/856191/850519",13,"K21 (19)","Consensus clustering",500,100,"CC(500,100)",NA,21,"ALL"
"60","K21
(19)","BP","GO:0050896","response to stimulus",0.684210526315789,"163/549",0.000439237529592729,0.0310760552186856,0.0290127947178355,"850811/854674/852130/854941/852700/850844/851246/851856/853798/856854/852786/856191/850519",13,"K21 (19)","Consensus clustering",500,100,"CC(500,100)",NA,21,"ALL"
"61","K26
(3)","CC","GO:0005576","extracellular region",1,"31/550",0.0001629916491709,0.003259832983418,0.00257355235533,"853102/853882/855352",3,"K26 (3)","Consensus clustering",500,100,"CC(500,100)",NA,26,"ALL"
"62","K26
(3)","CC","GO:0005618","cell wall",0.666666666666667,"30/550",0.00834937867365772,0.0417468933682886,0.0329580737118068,"853102/855352",2,"K26 (3)","Consensus clustering",500,100,"CC(500,100)",NA,26,"ALL"
"63","K26
(3)","CC","GO:0009277","fungal-type cell wall",0.666666666666667,"30/550",0.00834937867365772,0.0417468933682886,0.0329580737118068,"853102/855352",2,"K26 (3)","Consensus clustering",500,100,"CC(500,100)",NA,26,"ALL"
"64","K26
(3)","CC","GO:0030312","external encapsulating structure",0.666666666666667,"30/550",0.00834937867365772,0.0417468933682886,0.0329580737118068,"853102/855352",2,"K26 (3)","Consensus clustering",500,100,"CC(500,100)",NA,26,"ALL"
"65","K26
(3)","MF","GO:0004553","hydrolase activity, hydrolyzing O-glycosyl compounds",0.666666666666667,"11/546",0.00109675133285495,0.00813545601726929,0.00666060726560059,"853102/855352",2,"K26 (3)","Consensus clustering",500,100,"CC(500,100)",NA,26,"ALL"
"66","K26
(3)","MF","GO:0016798","hydrolase activity, acting on glycosyl bonds",0.666666666666667,"14/546",0.00180787911494873,0.00813545601726929,0.00666060726560059,"853102/855352",2,"K26 (3)","Consensus clustering",500,100,"CC(500,100)",NA,26,"ALL"
"67","K31
(15)","BP","GO:0007010","cytoskeleton organization",0.666666666666667,"68/549",8.26073779154419e-07,0.000140898528087303,0.000121992258915179,"852099/852787/851957/850639/853041/854555/856458/856577/855555/852249",10,"K31 (15)","Consensus clustering",500,100,"CC(500,100)",NA,31,"ALL"
"68","K31
(15)","BP","GO:0000278","mitotic cell cycle",0.866666666666667,"142/549",9.61764696841659e-07,0.000140898528087303,0.000121992258915179,"852099/853100/852787/855636/854249/851957/850639/852274/853041/854555/856458/856577/852249",13,"K31 (15)","Consensus clustering",500,100,"CC(500,100)",NA,31,"ALL"
"69","K31
(15)","BP","GO:1903047","mitotic cell cycle process",0.8,"135/549",7.44044070266239e-06,0.000630289298791227,0.000545714823095691,"852099/853100/852787/855636/854249/851957/850639/853041/854555/856458/856577/852249",12,"K31 (15)","Consensus clustering",500,100,"CC(500,100)",NA,31,"ALL"
"70","K31
(15)","BP","GO:1902850","microtubule cytoskeleton organization involved in mitosis",0.4,"23/549",1.06791713889571e-05,0.000630289298791227,0.000545714823095691,"852099/851957/853041/854555/856577/852249",6,"K31 (15)","Consensus clustering",500,100,"CC(500,100)",NA,31,"ALL"
"71","K31
(15)","CC","GO:0005856","cytoskeleton",0.666666666666667,"79/550",3.62697683293817e-06,0.000232126517308043,0.000164168425069833,"852099/852787/851957/850639/853041/854555/856458/856577/855555/852249",10,"K31 (15)","Consensus clustering",500,100,"CC(500,100)",NA,31,"ALL"
"72","K31
(15)","CC","GO:0015630","microtubule cytoskeleton",0.466666666666667,"57/550",0.000298738384511611,0.00955962830437156,0.00676092133368383,"852099/852787/851957/853041/854555/856577/852249",7,"K31 (15)","Consensus clustering",500,100,"CC(500,100)",NA,31,"ALL"
"73","K31
(15)","CC","GO:0099080","supramolecular complex",0.4,"43/550",0.000474783423278265,0.0101287130299363,0.0071633990178826,"852099/853100/852787/853041/856577/852249",6,"K31 (15)","Consensus clustering",500,100,"CC(500,100)",NA,31,"ALL"
"74","K31
(15)","CC","GO:0005816","spindle pole body",0.333333333333333,"37/550",0.00192452516282826,0.0199407412277457,0.0141028268551491,"852787/851957/853041/854555/856577",5,"K31 (15)","Consensus clustering",500,100,"CC(500,100)",NA,31,"ALL"
"75","K31
(15)","CC","GO:0005815","microtubule organizing center",0.333333333333333,"38/550",0.00218101857178468,0.0199407412277457,0.0141028268551491,"852787/851957/853041/854555/856577",5,"K31 (15)","Consensus clustering",500,100,"CC(500,100)",NA,31,"ALL"
"76","K32
(8)","BP","GO:0006281","DNA repair",0.625,"72/549",0.00138827357300958,0.010601361830255,0.00471614467386031,"851811/852295/851810/855700/852283",5,"K32 (8)","Consensus clustering",500,100,"CC(500,100)",NA,32,"ALL"
"77","K32
(8)","BP","GO:0006974","cellular response to DNA damage stimulus",0.625,"81/549",0.00242756478980441,0.0135943628229047,0.00604761754653028,"851811/852295/851810/855700/852283",5,"K32 (8)","Consensus clustering",500,100,"CC(500,100)",NA,32,"ALL"
"78","K32
(8)","BP","GO:0034645","cellular macromolecule biosynthetic process",0.75,"156/549",0.00801830389973351,0.0260816383116646,0.0116027338353896,"851811/852295/851810/855700/852283/852294",6,"K32 (8)","Consensus clustering",500,100,"CC(500,100)",NA,32,"ALL"
"79","K32
(8)","BP","GO:0009059","macromolecule biosynthetic process",0.75,"160/549",0.00920372076744738,0.028113183435112,0.0125064913777754,"851811/852295/851810/855700/852283/852294",6,"K32 (8)","Consensus clustering",500,100,"CC(500,100)",NA,32,"ALL"
"80","K32
(8)","BP","GO:0033554","cellular response to stress",0.625,"110/549",0.00994775463700886,0.0298432639110266,0.0132761387072863,"851811/852295/851810/855700/852283",5,"K32 (8)","Consensus clustering",500,100,"CC(500,100)",NA,32,"ALL"
