"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Cluster_str","Inference","Chain","Model","Cluster_plt","Ontology"
"36","K20
(23)","GO:0005774","vacuolar membrane",0.217391304347826,"22/550",0.00133509833169565,0.0192254159764173,0.0140536666494279,"856050/854141/851315/853690/852458",5,"K20 (23)","Consensus clustering",NA,"Consensus Clustering",20,"CC"
"37","K20
(23)","GO:0016021","integral component of membrane",0.478260869565217,"110/550",0.00199635373451341,0.0239562448141609,0.0175118748641527,"852845/853372/856050/852114/854141/851551/851315/854499/853690/852458/851464",11,"K20 (23)","Consensus clustering",NA,"Consensus Clustering",20,"CC"
"38","K20
(23)","GO:0031224","intrinsic component of membrane",0.478260869565217,"128/550",0.00731230683116503,0.0448889403384505,0.0328135528789843,"852845/853372/856050/852114/854141/851551/851315/854499/853690/852458/851464",11,"K20 (23)","Consensus clustering",NA,"Consensus Clustering",20,"CC"
"39","K26
(3)","GO:0005576","extracellular region",1,"31/550",0.0001629916491709,0.003259832983418,0.00257355235533,"853102/853882/855352",3,"K26 (3)","Consensus clustering",NA,"Consensus Clustering",26,"CC"
"40","K26
(3)","GO:0005618","cell wall",0.666666666666667,"30/550",0.00834937867365772,0.0417468933682886,0.0329580737118068,"853102/855352",2,"K26 (3)","Consensus clustering",NA,"Consensus Clustering",26,"CC"
"41","K26
(3)","GO:0009277","fungal-type cell wall",0.666666666666667,"30/550",0.00834937867365772,0.0417468933682886,0.0329580737118068,"853102/855352",2,"K26 (3)","Consensus clustering",NA,"Consensus Clustering",26,"CC"
"42","K26
(3)","GO:0030312","external encapsulating structure",0.666666666666667,"30/550",0.00834937867365772,0.0417468933682886,0.0329580737118068,"853102/855352",2,"K26 (3)","Consensus clustering",NA,"Consensus Clustering",26,"CC"
"43","K31
(15)","GO:0005856","cytoskeleton",0.666666666666667,"79/550",3.62697683293817e-06,0.000232126517308043,0.000164168425069833,"852099/852787/851957/850639/853041/854555/856458/856577/855555/852249",10,"K31 (15)","Consensus clustering",NA,"Consensus Clustering",31,"CC"
"44","K31
(15)","GO:0015630","microtubule cytoskeleton",0.466666666666667,"57/550",0.000298738384511611,0.00955962830437156,0.00676092133368383,"852099/852787/851957/853041/854555/856577/852249",7,"K31 (15)","Consensus clustering",NA,"Consensus Clustering",31,"CC"
"45","K31
(15)","GO:0099080","supramolecular complex",0.4,"43/550",0.000474783423278265,0.0101287130299363,0.0071633990178826,"852099/853100/852787/853041/856577/852249",6,"K31 (15)","Consensus clustering",NA,"Consensus Clustering",31,"CC"
"46","K31
(15)","GO:0043228","non-membrane-bounded organelle",0.8,"219/550",0.00161366703845437,0.0199407412277457,0.0141028268551491,"852099/853100/852787/855636/851957/850639/853041/854555/856458/856577/855555/852249",12,"K31 (15)","Consensus clustering",NA,"Consensus Clustering",31,"CC"
"47","K31
(15)","GO:0043232","intracellular non-membrane-bounded organelle",0.8,"219/550",0.00161366703845437,0.0199407412277457,0.0141028268551491,"852099/853100/852787/855636/851957/850639/853041/854555/856458/856577/855555/852249",12,"K31 (15)","Consensus clustering",NA,"Consensus Clustering",31,"CC"
"48","K31
(15)","GO:0005816","spindle pole body",0.333333333333333,"37/550",0.00192452516282826,0.0199407412277457,0.0141028268551491,"852787/851957/853041/854555/856577",5,"K31 (15)","Consensus clustering",NA,"Consensus Clustering",31,"CC"
"49","K31
(15)","GO:0005815","microtubule organizing center",0.333333333333333,"38/550",0.00218101857178468,0.0199407412277457,0.0141028268551491,"852787/851957/853041/854555/856577",5,"K31 (15)","Consensus clustering",NA,"Consensus Clustering",31,"CC"
"50","K32
(8)","GO:0000788","nuclear nucleosome",1,"10/550",2.28056389354179e-16,5.70140973385446e-15,1.44035614328955e-15,"855701/852284/851811/852295/851810/855700/852283/852294",8,"K32 (8)","Consensus clustering",NA,"Consensus Clustering",32,"CC"
"51","K32
(8)","GO:0000786","nucleosome",1,"11/550",8.36206760965323e-16,1.04525845120665e-14,2.64065292936418e-15,"855701/852284/851811/852295/851810/855700/852283/852294",8,"K32 (8)","Consensus clustering",NA,"Consensus Clustering",32,"CC"
"52","K32
(8)","GO:0044815","DNA packaging complex",1,"13/550",6.52241273552956e-15,5.43534394627463e-14,1.37313952326938e-14,"855701/852284/851811/852295/851810/855700/852283/852294",8,"K32 (8)","Consensus clustering",NA,"Consensus Clustering",32,"CC"
"53","K32
(8)","GO:0000790","nuclear chromatin",1,"30/550",2.96621542813512e-11,1.48310771406756e-10,3.74679843553910e-11,"855701/852284/851811/852295/851810/855700/852283/852294",8,"K32 (8)","Consensus clustering",NA,"Consensus Clustering",32,"CC"
"54","K32
(8)","GO:0032993","protein-DNA complex",1,"30/550",2.96621542813512e-11,1.48310771406756e-10,3.74679843553910e-11,"855701/852284/851811/852295/851810/855700/852283/852294",8,"K32 (8)","Consensus clustering",NA,"Consensus Clustering",32,"CC"
"55","K32
(8)","GO:0031298","replication fork protection complex",0.75,"18/550",1.33745690116368e-08,4.77663178987029e-08,1.20672803112513e-08,"852284/851811/852295/851810/852283/852294",6,"K32 (8)","Consensus clustering",NA,"Consensus Clustering",32,"CC"
"56","K32
(8)","GO:0043596","nuclear replication fork",0.75,"30/550",4.11456638625443e-07,1.28580199570451e-06,3.24834188388508e-07,"852284/851811/852295/851810/852283/852294",6,"K32 (8)","Consensus clustering",NA,"Consensus Clustering",32,"CC"
"57","K32
(8)","GO:0005657","replication fork",0.75,"34/550",9.19784017862001e-07,2.299460044655e-06,5.80916221807579e-07,"852284/851811/852295/851810/852283/852294",6,"K32 (8)","Consensus clustering",NA,"Consensus Clustering",32,"CC"
"58","K32
(8)","GO:0005694","chromosome",1,"121/550",4.55985817139368e-06,1.03633140258947e-05,2.61810038548919e-06,"855701/852284/851811/852295/851810/855700/852283/852294",8,"K32 (8)","Consensus clustering",NA,"Consensus Clustering",32,"CC"
"59","K32
(8)","GO:0031981","nuclear lumen",1,"142/550",1.69993310033786e-05,3.54152729237053e-05,8.94701631756766e-06,"855701/852284/851811/852295/851810/855700/852283/852294",8,"K32 (8)","Consensus clustering",NA,"Consensus Clustering",32,"CC"
"60","K32
(8)","GO:0031974","membrane-enclosed lumen",1,"157/550",3.87069634028841e-05,6.45116056714735e-05,1.62976688012144e-05,"855701/852284/851811/852295/851810/855700/852283/852294",8,"K32 (8)","Consensus clustering",NA,"Consensus Clustering",32,"CC"
"61","K32
(8)","GO:0043233","organelle lumen",1,"157/550",3.87069634028841e-05,6.45116056714735e-05,1.62976688012144e-05,"855701/852284/851811/852295/851810/855700/852283/852294",8,"K32 (8)","Consensus clustering",NA,"Consensus Clustering",32,"CC"
