"","N_iter","ARI","Frobenius_norm","K_diff","Simulation","Inference","N_seeds","Model"
"157",10,1,1199,0,15,"Consensus",10,"Consensus (10, 10)"
"158",100,1,19.4,0,15,"Consensus",10,"Consensus (100, 10)"
"159",1000,1,55.2,0,15,"Consensus",10,"Consensus (1000, 10)"
"160",10000,1,74.6,0,15,"Consensus",10,"Consensus (10000, 10)"
"161",1,0.676587154221168,8802.4,-20,15,"Consensus",30,"Consensus (1, 30)"
"162",10,1,1265.06666666667,0,15,"Consensus",30,"Consensus (10, 30)"
"163",100,1,43.2666666666668,0,15,"Consensus",30,"Consensus (100, 30)"
"164",1000,1,87.1333333333335,0,15,"Consensus",30,"Consensus (1000, 30)"
"165",10000,1,55.5333333333334,0,15,"Consensus",30,"Consensus (10000, 30)"
"166",1,0.71384919565022,8647.92,-16,15,"Consensus",50,"Consensus (1, 50)"
"167",10,1,1249.24,0,15,"Consensus",50,"Consensus (10, 50)"
"168",100,1,52.8800000000001,0,15,"Consensus",50,"Consensus (100, 50)"
"169",1000,1,96.1199999999999,0,15,"Consensus",50,"Consensus (1000, 50)"
"170",10000,1,62.88,0,15,"Consensus",50,"Consensus (10000, 50)"
"171",1,0.716743274479277,8600.04,-17,15,"Consensus",100,"Consensus (1, 100)"
"172",10,1,1274.7,0,15,"Consensus",100,"Consensus (10, 100)"
"173",100,1,57.14,0,15,"Consensus",100,"Consensus (100, 100)"
"174",1000,1,65.2000000000001,0,15,"Consensus",100,"Consensus (1000, 100)"
"175",10000,1,49.8200000000001,0,15,"Consensus",100,"Consensus (10000, 100)"
"176",1,0.487388256174738,7936,-17,16,"Consensus",1,"Consensus (1, 1)"
"177",10,0.773956246996475,3792,-1,16,"Consensus",1,"Consensus (10, 1)"
"178",100,1,0,0,16,"Consensus",1,"Consensus (100, 1)"
"179",1000,1,0,0,16,"Consensus",1,"Consensus (1000, 1)"
"180",10000,1,0,0,16,"Consensus",1,"Consensus (10000, 1)"
"181",1,0.644273546800003,9047.8,-14,16,"Consensus",10,"Consensus (1, 10)"
"182",10,1,754.6,0,16,"Consensus",10,"Consensus (10, 10)"
"183",100,1,101.8,0,16,"Consensus",10,"Consensus (100, 10)"
"184",1000,1,0,0,16,"Consensus",10,"Consensus (1000, 10)"
"185",10000,1,83.8,0,16,"Consensus",10,"Consensus (10000, 10)"
"186",1,0.631165315783035,9386.8,-13,16,"Consensus",30,"Consensus (1, 30)"
"187",10,1,1349.73333333333,0,16,"Consensus",30,"Consensus (10, 30)"
"188",100,1,65.0666666666669,0,16,"Consensus",30,"Consensus (100, 30)"
"189",1000,1,42.7333333333334,0,16,"Consensus",30,"Consensus (1000, 30)"
"190",10000,1,76.4666666666668,0,16,"Consensus",30,"Consensus (10000, 30)"
"191",1,0.650586174058906,9455.8,-14,16,"Consensus",50,"Consensus (1, 50)"
"192",10,1,1374,0,16,"Consensus",50,"Consensus (10, 50)"
"193",100,1,59.8800000000001,0,16,"Consensus",50,"Consensus (100, 50)"
"194",1000,1,44.5200000000001,0,16,"Consensus",50,"Consensus (1000, 50)"
"195",10000,1,68.2400000000001,0,16,"Consensus",50,"Consensus (10000, 50)"
"196",1,0.694155093706579,9325,-17,16,"Consensus",100,"Consensus (1, 100)"
"197",10,1,1232.72,0,16,"Consensus",100,"Consensus (10, 100)"
"198",100,1,55.1800000000001,0,16,"Consensus",100,"Consensus (100, 100)"
"199",1000,1,42.64,0,16,"Consensus",100,"Consensus (1000, 100)"
"200",10000,1,61.5400000000001,0,16,"Consensus",100,"Consensus (10000, 100)"
"201",1,0.347903330384749,10260,-19,17,"Consensus",1,"Consensus (1, 1)"
"202",10,1,0,0,17,"Consensus",1,"Consensus (10, 1)"
"203",100,1,0,0,17,"Consensus",1,"Consensus (100, 1)"
"204",1000,1,0,0,17,"Consensus",1,"Consensus (1000, 1)"
"205",10000,1,0,0,17,"Consensus",1,"Consensus (10000, 1)"
"206",1,0.566603071693415,9841,-13,17,"Consensus",10,"Consensus (1, 10)"
