"","N_iter","ARI","Frobenius_norm","K_diff","Simulation","Inference","N_seeds","Model"
"24458",1000001,0.719540202526111,8073.95626595627,-20,98,"Bayesian",NA,"Bayesian (Pooled)"
"24739",1000001,0.572119938577844,8190.90609390609,-20,99,"Bayesian",NA,"Bayesian (Pooled)"
"24964",1000001,0.681061076996163,7592.84815184815,-20,9,"Bayesian",NA,"Bayesian (Pooled)"
"1",1,0.436839548695682,12616,-20,100,"Consensus",1,"Consensus (1, 1)"
"2",10,0.462646661074308,11546,-20,100,"Consensus",1,"Consensus (10, 1)"
"3",100,0.646068152840774,5818,-17,100,"Consensus",1,"Consensus (100, 1)"
"4",1000,0.659096317304583,5752,-19,100,"Consensus",1,"Consensus (1000, 1)"
"5",10000,0.581918969423275,6732,-19,100,"Consensus",1,"Consensus (10000, 1)"
"6",1,0.225466269298799,12532.4,-20,100,"Consensus",10,"Consensus (1, 10)"
"7",10,0.529236604757941,10200.8,-20,100,"Consensus",10,"Consensus (10, 10)"
"8",100,0.762957271997035,6710.4,-20,100,"Consensus",10,"Consensus (100, 10)"
"9",1000,0.75844529191365,6358.4,-20,100,"Consensus",10,"Consensus (1000, 10)"
"10",10000,0.721364646651107,6422.8,-20,100,"Consensus",10,"Consensus (10000, 10)"
"11",1,0.300060825757466,12564.7333333333,-20,100,"Consensus",30,"Consensus (1, 30)"
"12",10,0.627027513098031,9964.8,-20,100,"Consensus",30,"Consensus (10, 30)"
"13",100,0.723318678097316,6771.13333333333,-20,100,"Consensus",30,"Consensus (100, 30)"
"14",1000,0.778083524628077,6498.33333333333,-20,100,"Consensus",30,"Consensus (1000, 30)"
"15",10000,0.720855223401153,6603.2,-20,100,"Consensus",30,"Consensus (10000, 30)"
"16",1,0.391745048662628,12613.48,-20,100,"Consensus",50,"Consensus (1, 50)"
"17",10,0.655033727898587,10062.04,-20,100,"Consensus",50,"Consensus (10, 50)"
"18",100,0.744135984217849,6770.72,-20,100,"Consensus",50,"Consensus (100, 50)"
"19",1000,0.76664122721858,6500.4,-20,100,"Consensus",50,"Consensus (1000, 50)"
"20",10000,0.742455039117696,6709.2,-20,100,"Consensus",50,"Consensus (10000, 50)"
"21",1,0.36375748725771,12598.5,-20,100,"Consensus",100,"Consensus (1, 100)"
"22",10,0.681635441322255,9964.44,-20,100,"Consensus",100,"Consensus (10, 100)"
"23",100,0.752392756853291,6727.86,-20,100,"Consensus",100,"Consensus (100, 100)"
"24",1000,0.758562172261242,6660.52,-20,100,"Consensus",100,"Consensus (1000, 100)"
"25",10000,0.734659045637603,6742.74,-20,100,"Consensus",100,"Consensus (10000, 100)"
"26",1,0.275042360784102,14044,-20,10,"Consensus",1,"Consensus (1, 1)"
"27",10,0.58484539897513,12286,-20,10,"Consensus",1,"Consensus (10, 1)"
"28",100,0.706190520539093,5248,-17,10,"Consensus",1,"Consensus (100, 1)"
"29",1000,0.53139347646855,8564,-20,10,"Consensus",1,"Consensus (1000, 1)"
"30",10000,0.645744240287624,7596,-20,10,"Consensus",1,"Consensus (10000, 1)"
"31",1,0.0708691743276457,14309.2,-20,10,"Consensus",10,"Consensus (1, 10)"
"32",10,0.559878854074655,11930,-20,10,"Consensus",10,"Consensus (10, 10)"
"33",100,0.679060270937856,7352,-20,10,"Consensus",10,"Consensus (100, 10)"
"34",1000,0.717263770046847,7812.8,-20,10,"Consensus",10,"Consensus (1000, 10)"
"35",10000,0.77039512051714,7691,-20,10,"Consensus",10,"Consensus (10000, 10)"
"36",1,0.231679002896741,14251.4666666667,-20,10,"Consensus",30,"Consensus (1, 30)"
"37",10,0.616285371986207,11773.4,-20,10,"Consensus",30,"Consensus (10, 30)"
"38",100,0.716560267444131,7818,-20,10,"Consensus",30,"Consensus (100, 30)"
"39",1000,0.713814694651002,7649.8,-20,10,"Consensus",30,"Consensus (1000, 30)"
"40",10000,0.721148480513284,7711.53333333333,-20,10,"Consensus",30,"Consensus (10000, 30)"
"41",1,0.208281481450703,14255.52,-20,10,"Consensus",50,"Consensus (1, 50)"
"42",10,0.548176228111579,11917.44,-20,10,"Consensus",50,"Consensus (10, 50)"
"43",100,0.749977582850913,7803.84,-20,10,"Consensus",50,"Consensus (100, 50)"
"44",1000,0.723945170620942,7584.76,-20,10,"Consensus",50,"Consensus (1000, 50)"
"45",10000,0.752036089387179,7621.32,-20,10,"Consensus",50,"Consensus (10000, 50)"
"46",1,0.350657350178351,14245.08,-20,10,"Consensus",100,"Consensus (1, 100)"
"47",10,0.668135199466218,11921.68,-20,10,"Consensus",100,"Consensus (10, 100)"
"48",100,0.739662730571234,7811.02,-20,10,"Consensus",100,"Consensus (100, 100)"
"49",1000,0.744717457855585,7565.52,-20,10,"Consensus",100,"Consensus (1000, 100)"
"50",10000,0.729442393577753,7722.74,-20,10,"Consensus",100,"Consensus (10000, 100)"
"51",1,0.335829884115142,15214,-20,11,"Consensus",1,"Consensus (1, 1)"
"52",10,0.404242890437024,11822,-20,11,"Consensus",1,"Consensus (10, 1)"
"53",100,0.488458149086563,9436,-19,11,"Consensus",1,"Consensus (100, 1)"
"54",1000,0.545839776740487,9390,-20,11,"Consensus",1,"Consensus (1000, 1)"
"55",10000,0.522240826568718,8640,-18,11,"Consensus",1,"Consensus (10000, 1)"
"56",1,0.104124677375358,15065.2,-20,11,"Consensus",10,"Consensus (1, 10)"
"57",10,0.359649598435226,13416.8,-20,11,"Consensus",10,"Consensus (10, 10)"
"58",100,0.625250304378213,9691.4,-20,11,"Consensus",10,"Consensus (100, 10)"
"59",1000,0.566760672489522,9402.8,-20,11,"Consensus",10,"Consensus (1000, 10)"
"60",10000,0.563456168834384,9196.2,-20,11,"Consensus",10,"Consensus (10000, 10)"
"61",1,0.113460909074377,15079.9333333333,-20,11,"Consensus",30,"Consensus (1, 30)"
"62",10,0.526114881875107,13218.5333333333,-20,11,"Consensus",30,"Consensus (10, 30)"
"63",100,0.662632057054874,9599.06666666667,-20,11,"Consensus",30,"Consensus (100, 30)"
"64",1000,0.591948926791553,9425,-20,11,"Consensus",30,"Consensus (1000, 30)"
"65",10000,0.622499401502495,9224.26666666667,-20,11,"Consensus",30,"Consensus (10000, 30)"
"66",1,0.176745523087877,15117.08,-20,11,"Consensus",50,"Consensus (1, 50)"
"67",10,0.488137958029617,13378.12,-20,11,"Consensus",50,"Consensus (10, 50)"
"68",100,0.657349024226783,9654.92,-20,11,"Consensus",50,"Consensus (100, 50)"
"69",1000,0.617133195069992,9399.08,-20,11,"Consensus",50,"Consensus (1000, 50)"
"70",10000,0.608354349163152,9318.92,-20,11,"Consensus",50,"Consensus (10000, 50)"
"71",1,0.154153309452896,15087.26,-20,11,"Consensus",100,"Consensus (1, 100)"
"72",10,0.527867662462524,13388.9,-20,11,"Consensus",100,"Consensus (10, 100)"
"73",100,0.640826415033451,9496.56,-20,11,"Consensus",100,"Consensus (100, 100)"
"74",1000,0.62291561943917,9409.16,-20,11,"Consensus",100,"Consensus (1000, 100)"
"75",10000,0.603601532189728,9184.38,-20,11,"Consensus",100,"Consensus (10000, 100)"
"76",1,0.367409627137739,12436,-20,12,"Consensus",1,"Consensus (1, 1)"
"77",10,0.436715106955819,8604,-17,12,"Consensus",1,"Consensus (10, 1)"
"78",100,0.632720463394636,6204,-16,12,"Consensus",1,"Consensus (100, 1)"
"79",1000,0.729229495163797,4632,-16,12,"Consensus",1,"Consensus (1000, 1)"
"80",10000,0.641572680798641,6146,-16,12,"Consensus",1,"Consensus (10000, 1)"
"81",1,0.229602546575202,12401.6,-20,12,"Consensus",10,"Consensus (1, 10)"
"82",10,0.546145635802162,9923.6,-20,12,"Consensus",10,"Consensus (10, 10)"
"83",100,0.761677576667927,5672.8,-19,12,"Consensus",10,"Consensus (100, 10)"
"84",1000,0.712791419501454,5596.8,-17,12,"Consensus",10,"Consensus (1000, 10)"
"85",10000,0.762227296792982,5649,-20,12,"Consensus",10,"Consensus (10000, 10)"
"86",1,0.370255499576342,12482.3333333333,-20,12,"Consensus",30,"Consensus (1, 30)"
"87",10,0.717413591494582,9755.13333333333,-20,12,"Consensus",30,"Consensus (10, 30)"
"88",100,0.752499096189821,5702.8,-20,12,"Consensus",30,"Consensus (100, 30)"
"89",1000,0.768253607109392,5433.86666666667,-20,12,"Consensus",30,"Consensus (1000, 30)"
"90",10000,0.762821338344203,5649.46666666667,-20,12,"Consensus",30,"Consensus (10000, 30)"
"91",1,0.323600189913995,12487.68,-20,12,"Consensus",50,"Consensus (1, 50)"
"92",10,0.690449099392856,9756.12,-20,12,"Consensus",50,"Consensus (10, 50)"
"93",100,0.754629404248765,5670.44,-20,12,"Consensus",50,"Consensus (100, 50)"
"94",1000,0.773488368739242,5456.92,-20,12,"Consensus",50,"Consensus (1000, 50)"
"95",10000,0.753900635920313,5578.52,-20,12,"Consensus",50,"Consensus (10000, 50)"
"96",1,0.467279931867513,12458.92,-20,12,"Consensus",100,"Consensus (1, 100)"
"97",10,0.765695559300504,9753.52,-20,12,"Consensus",100,"Consensus (10, 100)"
"98",100,0.774171661744553,5708.16,-20,12,"Consensus",100,"Consensus (100, 100)"
"99",1000,0.754693505453649,5577.78,-19,12,"Consensus",100,"Consensus (1000, 100)"
"100",10000,0.765065878964028,5652.8,-19,12,"Consensus",100,"Consensus (10000, 100)"
"101",1,0.319934618056236,13004,-20,13,"Consensus",1,"Consensus (1, 1)"
"102",10,0.381932173212157,11602,-20,13,"Consensus",1,"Consensus (10, 1)"
"103",100,0.431914831381281,8304,-20,13,"Consensus",1,"Consensus (100, 1)"
"104",1000,0.482983260829249,8768,-19,13,"Consensus",1,"Consensus (1000, 1)"
"105",10000,0.250927072516626,8374,-20,13,"Consensus",1,"Consensus (10000, 1)"
"106",1,0.19434365666794,13068,-20,13,"Consensus",10,"Consensus (1, 10)"
"107",10,0.603961805441022,11894.6,-20,13,"Consensus",10,"Consensus (10, 10)"
"108",100,0.637220295677289,8288,-20,13,"Consensus",10,"Consensus (100, 10)"
"109",1000,0.628739083545968,8304.6,-20,13,"Consensus",10,"Consensus (1000, 10)"
"110",10000,0.6994576708587,8299.6,-20,13,"Consensus",10,"Consensus (10000, 10)"
"111",1,0.35381261108718,13036.2666666667,-20,13,"Consensus",30,"Consensus (1, 30)"
"112",10,0.491954956296453,11758.5333333333,-20,13,"Consensus",30,"Consensus (10, 30)"
"113",100,0.644673259807801,8477.8,-20,13,"Consensus",30,"Consensus (100, 30)"
"114",1000,0.63575554301157,8465.8,-20,13,"Consensus",30,"Consensus (1000, 30)"
"115",10000,0.660956159673274,8491.66666666667,-20,13,"Consensus",30,"Consensus (10000, 30)"
"116",1,0.299130003527561,13064.56,-20,13,"Consensus",50,"Consensus (1, 50)"
"117",10,0.628012047483059,11519.08,-20,13,"Consensus",50,"Consensus (10, 50)"
"118",100,0.659494736112592,8437.04,-20,13,"Consensus",50,"Consensus (100, 50)"
"119",1000,0.651063621179183,8537.56,-20,13,"Consensus",50,"Consensus (1000, 50)"
"120",10000,0.659039896683717,8516.24,-20,13,"Consensus",50,"Consensus (10000, 50)"
"121",1,0.298645525021738,13063.78,-20,13,"Consensus",100,"Consensus (1, 100)"
"122",10,0.581281277137406,11399.32,-20,13,"Consensus",100,"Consensus (10, 100)"
"123",100,0.654219477442464,8476.76,-20,13,"Consensus",100,"Consensus (100, 100)"
"124",1000,0.654923566942988,8503.88,-20,13,"Consensus",100,"Consensus (1000, 100)"
"125",10000,0.642934406067431,8507.66,-20,13,"Consensus",100,"Consensus (10000, 100)"
"126",1,0.370567310449016,12204,-20,14,"Consensus",1,"Consensus (1, 1)"
"127",10,0.558657841262845,7170,-13,14,"Consensus",1,"Consensus (10, 1)"
"128",100,0.706419827922587,5048,-17,14,"Consensus",1,"Consensus (100, 1)"
"129",1000,0.71921575348156,4820,-14,14,"Consensus",1,"Consensus (1000, 1)"
"130",10000,0.674787857247727,5460,-14,14,"Consensus",1,"Consensus (10000, 1)"
"131",1,0.244595080500727,12607,-20,14,"Consensus",10,"Consensus (1, 10)"
"132",10,0.632892391767705,8861.2,-20,14,"Consensus",10,"Consensus (10, 10)"
"133",100,0.80104926942624,4766.6,-19,14,"Consensus",10,"Consensus (100, 10)"
"134",1000,0.830070849744222,4665.6,-19,14,"Consensus",10,"Consensus (1000, 10)"
"135",10000,0.837327878134526,4935.4,-19,14,"Consensus",10,"Consensus (10000, 10)"
"136",1,0.34592876034825,12669,-20,14,"Consensus",30,"Consensus (1, 30)"
"137",10,0.690272865133423,9259,-20,14,"Consensus",30,"Consensus (10, 30)"
"138",100,0.865980704373171,4683.26666666667,-16,14,"Consensus",30,"Consensus (100, 30)"
"139",1000,0.835541272381253,4768.6,-19,14,"Consensus",30,"Consensus (1000, 30)"
"140",10000,0.849733946970573,4886.06666666667,-17,14,"Consensus",30,"Consensus (10000, 30)"
"141",1,0.365600749203143,12704.76,-20,14,"Consensus",50,"Consensus (1, 50)"
"142",10,0.735199552285035,9387.28,-20,14,"Consensus",50,"Consensus (10, 50)"
"143",100,0.866108753081063,4703.8,-15,14,"Consensus",50,"Consensus (100, 50)"
"144",1000,0.849779046343229,4830.84,-20,14,"Consensus",50,"Consensus (1000, 50)"
"145",10000,0.863500149801971,5006,-18,14,"Consensus",50,"Consensus (10000, 50)"
"146",1,0.44892014883938,12722.56,-20,14,"Consensus",100,"Consensus (1, 100)"
"147",10,0.754580069596724,9299.44,-20,14,"Consensus",100,"Consensus (10, 100)"
"148",100,0.885048138492836,4794.02,-17,14,"Consensus",100,"Consensus (100, 100)"
"149",1000,0.851605257076991,4743.72,-19,14,"Consensus",100,"Consensus (1000, 100)"
"150",10000,0.853330481216916,4895.9,-20,14,"Consensus",100,"Consensus (10000, 100)"
"151",1,0.180729506023008,10948,-20,15,"Consensus",1,"Consensus (1, 1)"
"152",10,0.340760374760025,7340,-20,15,"Consensus",1,"Consensus (10, 1)"
"153",100,0.607168873335786,5730,-17,15,"Consensus",1,"Consensus (100, 1)"
"154",1000,0.598892656304867,5954,-16,15,"Consensus",1,"Consensus (1000, 1)"
"155",10000,0.688497134898886,4574,-16,15,"Consensus",1,"Consensus (10000, 1)"
"156",1,0.210538715156638,10684.4,-20,15,"Consensus",10,"Consensus (1, 10)"
"157",10,0.701812358825311,8112.8,-20,15,"Consensus",10,"Consensus (10, 10)"
"158",100,0.777861764429657,5562.8,-20,15,"Consensus",10,"Consensus (100, 10)"
"159",1000,0.747258101721248,5786.8,-20,15,"Consensus",10,"Consensus (1000, 10)"
"160",10000,0.796740539223919,5467.8,-20,15,"Consensus",10,"Consensus (10000, 10)"
"161",1,0.371317283734704,10643.6666666667,-20,15,"Consensus",30,"Consensus (1, 30)"
"162",10,0.751351235568376,8129.06666666667,-20,15,"Consensus",30,"Consensus (10, 30)"
"163",100,0.774615129787118,5540.86666666667,-20,15,"Consensus",30,"Consensus (100, 30)"
"164",1000,0.746947873483076,5715.46666666667,-20,15,"Consensus",30,"Consensus (1000, 30)"
"165",10000,0.772398533448289,5598.93333333333,-20,15,"Consensus",30,"Consensus (10000, 30)"
"166",1,0.540778380569521,10675.88,-20,15,"Consensus",50,"Consensus (1, 50)"
"167",10,0.766378254460407,8158.68,-20,15,"Consensus",50,"Consensus (10, 50)"
"168",100,0.791301587064535,5625.96,-20,15,"Consensus",50,"Consensus (100, 50)"
"169",1000,0.767919057511474,5610.44,-20,15,"Consensus",50,"Consensus (1000, 50)"
"170",10000,0.776100542526146,5638.56,-20,15,"Consensus",50,"Consensus (10000, 50)"
"171",1,0.475141448860029,10681.36,-20,15,"Consensus",100,"Consensus (1, 100)"
"172",10,0.751412623859609,8146.64,-20,15,"Consensus",100,"Consensus (10, 100)"
"173",100,0.760607285835079,5711.3,-20,15,"Consensus",100,"Consensus (100, 100)"
"174",1000,0.772570343426012,5606.56,-20,15,"Consensus",100,"Consensus (1000, 100)"
"175",10000,0.770668416282121,5738.48,-20,15,"Consensus",100,"Consensus (10000, 100)"
"176",1,0.272433394203346,12278,-20,16,"Consensus",1,"Consensus (1, 1)"
"177",10,0.594405420203567,9938,-20,16,"Consensus",1,"Consensus (10, 1)"
"178",100,0.64758495846652,5612,-18,16,"Consensus",1,"Consensus (100, 1)"
"179",1000,0.653635513562922,5552,-15,16,"Consensus",1,"Consensus (1000, 1)"
"180",10000,0.315789285963602,7134,-20,16,"Consensus",1,"Consensus (10000, 1)"
"181",1,0.184038204296425,12174,-20,16,"Consensus",10,"Consensus (1, 10)"
"182",10,0.726808370071565,9217.6,-20,16,"Consensus",10,"Consensus (10, 10)"
"183",100,0.772933823960883,5949.6,-20,16,"Consensus",10,"Consensus (100, 10)"
"184",1000,0.769599782132828,5435.6,-20,16,"Consensus",10,"Consensus (1000, 10)"
"185",10000,0.720640504677846,6042.2,-20,16,"Consensus",10,"Consensus (10000, 10)"
"186",1,0.290264200576963,12175.8666666667,-20,16,"Consensus",30,"Consensus (1, 30)"
"187",10,0.712581453923798,9385.93333333333,-20,16,"Consensus",30,"Consensus (10, 30)"
"188",100,0.788858041227456,5921.86666666667,-20,16,"Consensus",30,"Consensus (100, 30)"
"189",1000,0.786897664335985,5568,-20,16,"Consensus",30,"Consensus (1000, 30)"
"190",10000,0.790007057015463,5876.2,-20,16,"Consensus",30,"Consensus (10000, 30)"
"191",1,0.288629831857683,12203.16,-20,16,"Consensus",50,"Consensus (1, 50)"
