,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
YOR374W,-0.139800,-0.129800,-0.249800,0.010200,-0.269800,-0.409800,-0.799800,-0.499800,-0.619800,-0.679800,-0.619800,-0.729800,-0.449800,-0.159800,0.160200,-0.099800,0.110200,-0.729800,0.030200,-0.419800,-0.379800,-0.169800,-0.149800,-0.229800,0.060200,0.560200,0.890200,0.730200,0.890200,0.490200,0.350200,-0.309800,0.190200,0.150200,0.040200,0.350200,0.300200,0.580200,0.660200,0.870200,0.820200
YBR071W,1.463400,1.243400,0.773400,0.173400,-0.616600,-1.056600,-1.546600,-1.706600,-1.726600,-0.516600,0.493400,0.973400,1.303400,1.183400,0.913400,0.343400,-0.076600,-0.736600,-0.696600,-1.076600,-1.276600,-0.896600,0.053400,0.543400,0.683400,0.753400,0.613400,0.693400,0.233400,-0.046600,-0.386600,-0.656600,-0.636600,-0.486600,-0.656600,0.393400,0.243400,0.683400,0.363400,0.443400,0.233400
YER111C,0.801700,1.171700,0.361700,0.191700,-0.708300,-1.088300,-1.438300,-1.118300,-1.188300,-0.248300,-0.008300,0.821700,0.961700,1.061700,0.911700,0.241700,0.141700,-0.688300,-0.578300,-0.948300,-0.808300,-0.718300,-0.148300,0.241700,0.361700,0.171700,0.471700,0.591700,0.401700,-0.108300,-0.088300,-0.438300,-0.218300,-0.448300,-0.278300,0.451700,0.231700,0.621700,0.411700,0.551700,0.091700
YKL163W,2.167800,1.797800,1.087800,0.827800,0.407800,-0.182200,-0.432200,-0.282200,-0.412200,0.057800,0.277800,0.467800,0.527800,0.477800,0.177800,-0.202200,-0.262200,-0.822200,-0.332200,-0.662200,-0.642200,-0.232200,0.017800,0.167800,0.167800,0.127800,0.067800,0.047800,-0.242200,-0.582200,-0.542200,-0.902200,-0.582200,-0.602200,-0.482200,-0.032200,-0.112200,0.027800,-0.032200,-0.132200,-0.192200
YOR347C,0.354900,0.344900,0.214900,0.084900,-0.035100,-0.335100,-0.545100,-0.495100,-0.385100,-0.355100,-0.175100,-0.245100,0.104900,0.134900,0.094900,-0.165100,-0.065100,-0.735100,-0.145100,-0.575100,-0.415100,-0.195100,-0.015100,-0.035100,0.154900,0.164900,0.424900,0.394900,0.384900,0.024900,0.054900,-0.465100,-0.085100,0.074900,0.004900,0.334900,0.314900,0.464900,0.344900,0.514900,0.474900
YDL102W,-0.201500,0.628500,0.298500,0.518500,-0.041500,-0.451500,-0.601500,-0.161500,-0.211500,-0.041500,0.038500,0.438500,0.548500,0.498500,0.638500,0.098500,-0.021500,-0.621500,-0.031500,-0.221500,-0.271500,-0.011500,0.068500,0.068500,0.108500,-0.021500,0.298500,0.238500,0.218500,-0.211500,-0.321500,-0.611500,-0.101500,-0.331500,-0.251500,-0.021500,-0.121500,0.018500,0.098500,0.248500,-0.191500
YKR077W,1.545400,1.515400,0.625400,0.145400,-0.754600,-1.164600,-1.654600,-1.854600,-2.034600,-0.844600,0.105400,0.905400,1.225400,1.275400,0.965400,0.455400,0.215400,-0.654600,-0.514600,-1.114600,-1.284600,-1.264600,-0.314600,0.215400,0.705400,0.605400,0.715400,0.775400,0.455400,0.055400,-0.034600,-0.514600,-0.374600,-0.514600,-0.464600,0.295400,0.215400,0.695400,0.595400,0.605400,0.445400
YPR018W,0.545900,1.005900,0.505900,0.335900,-0.264100,-0.504100,-0.794100,-0.414100,-0.484100,-0.024100,0.185900,0.575900,0.765900,0.825900,0.615900,0.235900,0.125900,-0.404100,-0.404100,-0.374100,-0.544100,-0.344100,-0.234100,0.175900,0.155900,0.255900,0.235900,0.395900,0.085900,-0.184100,-0.224100,-0.414100,-0.504100,-0.304100,-0.494100,0.015900,-0.124100,0.285900,-0.064100,-0.024100,-0.204100
YDR309C,0.352000,0.372000,0.002000,0.022000,-0.218000,-0.348000,-0.468000,-0.448000,-0.578000,-0.368000,-0.218000,0.172000,0.402000,0.592000,0.472000,0.292000,0.182000,-0.238000,0.012000,-0.258000,-0.258000,-0.358000,-0.058000,0.132000,0.262000,0.312000,0.332000,0.402000,0.112000,0.032000,-0.108000,-0.488000,-0.178000,-0.188000,-0.238000,0.152000,-0.038000,0.182000,0.052000,0.142000,0.072000
YGL028C,-0.406300,-0.406300,-0.696300,-0.526300,-0.666300,-0.926300,-1.116300,-0.966300,-1.026300,-0.936300,-0.516300,0.173700,0.593700,0.763700,0.643700,0.493700,0.283700,-0.086300,0.043700,-0.466300,-0.446300,-0.646300,-0.176300,0.143700,0.533700,0.833700,0.773700,0.883700,0.433700,0.533700,0.213700,-0.046300,0.163700,0.123700,-0.006300,0.373700,0.133700,0.513700,0.393700,0.493700,0.523700
